Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Yhoswar Garcia","CF","PHI",,14,"19.7277777","20 / 45",,,"20 / 55","50 / 60","70 / 70","40 / 55",,,,"40+",
"Jamari Baylor","2B","PHI",,15,"20.8333333","30 / 40",,,"30 / 45","50 / 55","55 / 55","40 / 50",,,,"40+","sa3011446"
"Maximo Acosta","SS","TEX",,12,"18.6","25 / 60",,,"20 / 45","40 / 50","50 / 45","40 / 50",,,,"40+","sa3014711"
"Evan Carter","CF","TEX",,13,"18.7666666","25 / 60",70,55,"20 / 30","40 / 45","60 / 60","45 / 55",,,,"40+","sa3014490"
"Marcus Smith","CF","TEX",,17,"20.7333333","30 / 50",40,55,"30 / 40","35 / 40","70 / 70","40 / 55",87,,,"40+","sa1169620"
"Bayron Lora","LF","TEX",,18,"18.6833333","20 / 50",,,"25 / 60","60 / 70","40 / 30","40 / 50",,,,"40+","sa3014712"
"Seth Beer","DH","ARI",,16,"24.7138888","35 / 45",55,40,"40 / 55","60 / 60","20 / 20","30 / 40",88,0.42,106,"40+","sa3006658"
"Dustin Harris","1B","TEX",,20,"21.9083333","35 / 55",55,60,"30 / 45","60 / 60","50 / 50","30 / 45",,,,"40+","sa3010279"
"Wilderd Patino","CF","ARI",,17,"19.8805555","20 / 45",50,40,"30 / 50","45 / 55","60 / 60","45 / 55",89,0.39,107,"40+","sa3007874"
"Jonathan Ornelas","SS","TEX",,21,"21.025","30 / 50",50,45,"30 / 40","45 / 50","55 / 50","45 / 55",89,,,"40+","sa3006909"
"Manuel Pena","3B","ARI",,20,"17.5","20 / 50",,,"25 / 55","45 / 60","45 / 40","40 / 50",,,,"40+",
"Adolis Garcia","CF","TEX",,24,"28.2583333","30 / 30",20,55,"55 / 55","60 / 60","70 / 70","55 / 55",,,,"40+","19287"
"Carson Tucker","SS","CLE",,19,"19.3638888","20 / 45",40,40,"20 / 50","45 / 55","55 / 50","45 / 50",,,,"40+","sa3014470"
"Petey Halpin","CF","CLE",,22,"19.025","25 / 55",,60,"20 / 40","35 / 45","60 / 60","45 / 55",,,,"40+","sa3014461"
"Junior Sanquintin","SS","CLE",,23,"19.4083333","25 / 50",50,40,"25 / 50","45 / 55","55 / 50","40 / 50",84,0.28,102,"40+","sa3010863"
"Gabriel Rodriguez","3B","CLE",,27,"19.2861111","20 / 40",40,30,"25 / 55","50 / 60","50 / 40","40 / 50",83,0.29,101,"40+","sa3008744"
"Maikol Escotto","2B","PIT",,13,"19.0027777","20 / 45",55,40,"25 / 55","50 / 60","50 / 40","40 / 50",89,0.4,105,"40+","sa3008878"
"Canaan Smith-Njigba","LF","PIT",,16,"22.0972222","30 / 45",60,45,"35 / 55","60 / 60","40 / 40","40 / 45",,0.49,109,"40+","sa3004279"
"Rodolfo Nolasco","OF","PIT",,18,"19.7","25 / 50",50,50,"20 / 55","50 / 55","50 / 40","40 / 50",89,0.46,107,"40+","sa3008907"
"Jared Oliva","CF","PIT",,19,"25.5222222","40 / 40",55,45,"40 / 45","55 / 55","60 / 60","45 / 50",88,0.41,110,"40+","19968"
"Endy Rodriguez","C","PIT",,20,"21.0805555","35 / 60",55,55,"20 / 40","35 / 45","45 / 40","45 / 60",90,0.36,99,"40+","sa3008272"
"Mason Martin","1B","PIT",,21,"22.0083333","30 / 40",60,50,"35 / 60","70 / 70","45 / 45","35 / 45",91,0.47,109,"40+","sa3004885"
"Osiris Johnson","3B","MIA",,16,"20.6305555","30 / 40",45,40,"35 / 50","55 / 60","50 / 40","40 / 50",87,,106,"40+","sa3008110"
"Connor Scott","CF","MIA",,18,"21.6583333","30 / 45",50,50,"30 / 50","50 / 55","70 / 70","45 / 60",88,,105,"40+","sa3008080"
"Cal Mitchell","RF","PIT",,24,"22.2416666","30 / 45",35,50,"35 / 50","45 / 50","40 / 40","40 / 50",86,0.31,103,"40+","sa3004258"
"Yiddi Cappe","SS","MIA",,19,"18.8","20 / 50",,40,"20 / 50","45 / 55","55 / 55","45 / 50",,,,"40+",
"Sammy Siani","CF","PIT",,26,"20.475","35 / 50",55,40,"20 / 45","45 / 50","55 / 55","45 / 50",83,0.12,99,"40+","sa3010704"
"Monte Harrison","CF","MIA",,21,"25.8194444","30 / 30",50,30,"40 / 40","70 / 70","70 / 70","60 / 60",93,,113,"40+","17216"
